category,model_key,name,provider,price_raw,upper_usd,unit,credits_per_unit,credits_at_5s_or_fixed
text-to-image,flux-pro-v11-ultra,FLUX Pro v1.1 Ultra,Black Forest Labs,$0.05-0.09,0.09,fixed,9,9
text-to-image,seeddream-v4,SeedDream v4,ByteDance,$0.04-0.08,0.08,fixed,8,8
text-to-image,seeddream-v4-5,SeedDream v4.5,ByteDance,$0.04-0.08,0.08,fixed,8,8
text-to-image,seeddream-v4-5-edit,SeedDream v4.5 Edit,ByteDance,$0.04-0.08,0.08,fixed,8,8
text-to-image,qwen-image,Qwen Image,Alibaba,$0.04-0.08,0.08,fixed,8,8
text-to-image,gpt-image-1-5,GPT Image 1.5,OpenAI,$0.04-0.08,0.08,fixed,8,8
text-to-image,seeddream-v3,SeedDream v3,ByteDance,$0.03-0.06,0.06,fixed,6,6
text-to-image,wan-v2-7-t2i,Wan 2.7 T2I,WAN AI,$0.04-0.06,0.06,fixed,6,6
text-to-image,wan-v2-7-edit,Wan 2.7 Edit,WAN AI,$0.04-0.06,0.06,fixed,6,6
text-to-image,flux-2-flex,FLUX 2 Flex,Black Forest Labs,$0.06/MP,0.06,per-megapixel,6,
text-to-image,z-image-turbo,Z-Image Turbo,Tongyi-MAI,$0.03-0.05,0.05,fixed,5,5
text-to-image,phota,Phota,Photalabs,$0.05,0.05,fixed,5,5
text-to-image,reve-text-to-image,Reve T2I,fal.ai,$0.04,0.04,fixed,4,4
text-to-image,nano-banana,Nano Banana,Google,$0.039,0.039,fixed,4,4
avatar,wan_26_ref2v,WAN v2.6 Ref2V,WAN AI,$0.10-0.15/s,0.15,per-second,15,75
avatar,wan_animate_replace,WAN Animate/Replace,WAN AI,$0.075,0.075,fixed,8,8
avatar,kling_avatar_v2_standard,Kling Avatar v2 Std,Kling AI,$0.0562/s,0.0562,per-second,5.62,28
avatar,kling_avatar_v2_pro,Kling Avatar v2 Pro,Kling AI,$0.115/s,0.115,per-second,11.5,58
avatar,sync_lipsync_react1,Sync Lipsync React-1,Sync Labs,$0.10/s,0.10,per-second,10,50
avatar,kling_o1_v2v_reference,Kling O1 Video Reference,Kling AI,$0.112/s,0.112,per-second,11.2,56
avatar,kling_o1_v2v_edit,Kling O1 Video Edit,Kling AI,$0.168/s,0.168,per-second,16.8,84
avatar,kling_o1_ref2video,Kling O1 Reference-to-Video,Kling AI,$0.112/s,0.112,per-second,11.2,56
avatar,grok_imagine_r2v,Grok Imagine Ref-to-Video,xAI,$0.30/s,0.30,per-second,30,150
avatar,bytedance_omnihuman_v1_5,ByteDance OmniHuman v1.5,ByteDance,$0.20/s,0.20,per-second,20,100
avatar,veo31_fast_extend_video,Veo 3.1 Fast Extend,Google,$0.15/s,0.15,per-second,15,75
avatar,veo31_extend_video,Veo 3.1 Extend,Google,$0.40/s,0.40,per-second,40,200
avatar,kling_avatar_pro,Kling Avatar Pro,Kling AI,$0.25/s,0.25,per-second,25,125
avatar,kling_avatar_standard,Kling Avatar Standard,Kling AI,$0.15/s,0.15,per-second,15,75
avatar,sora2_video_to_video_remix,Sora 2 V2V Remix,OpenAI,$0.00,0.00,fixed,0,0
speech,chatterbox_tts,Chatterbox TTS,fal.ai,$0.025/1k chars,0.025,per-1k-chars,2.5,
speech,chatterbox_tts_turbo,Chatterbox TTS Turbo,fal.ai,TBD,,,1,
speech,chatterbox_s2s,Chatterbox Voice Convert,fal.ai,TBD,,,1,
speech,elevenlabs_v3,ElevenLabs v3,ElevenLabs,TBD,,,1,
speech,qwen3_tts,Qwen3 TTS,Alibaba,TBD,,,1,
speech,qwen3_clone_voice,Qwen3 Voice Clone,Alibaba,TBD,,,1,
speech,elevenlabs-tts,ElevenLabs TTS (override),ElevenLabs,,,per-1k-chars,0.1,
speech,elevenlabs-scribe,ElevenLabs Scribe (override),ElevenLabs,,,fixed,10,10
upscale,bytedance_video_upscaler,ByteDance Upscaler,ByteDance,$0.05,0.05,fixed,5,5
upscale,flashvsr_video_upscaler,FlashVSR,fal.ai,$0.03,0.03,fixed,3,3
upscale,topaz_video_upscale,Topaz Video AI,Topaz Labs,$0.50,0.50,fixed,50,50
upscale,shots_cinematic_angles,SHOTS Cinematic Angles,—,$0.40,0.40,fixed,40,40
upscale,crystal-upscaler,Crystal Upscaler,fal.ai,$0.02 / image,0.02,fixed,2,2
upscale,seedvr-upscale,SeedVR Upscale,SeedVR Labs,$0.05 / image,0.05,fixed,5,5
upscale,topaz-upscale,Topaz Upscale,Topaz Labs,$0.10 / image,0.10,fixed,10,10
utility,openrouter-prompt,Prompt Generation,OpenRouter,,,fixed,10,10
utility,gemini-describe,Gemini Describe,Google,,,fixed,10,10
utility,gmi-glm-5.1,GLM 5.1,GMI Cloud,,,fixed,10,10
utility,gmi-gemini-3.1-pro,Gemini 3.1 Pro,GMI Cloud,,,fixed,20,20
utility,gmi-gpt-5.4,GPT-5.4,GMI Cloud,,,fixed,30,30
